timestampLog,pid,condition_id,run_id,timestampConditionStart,timestampCollision,timestampClick,mouseIsInsideElement,targetX,targetY,targetWidth,targetHeight,cursorX,cursorY
1611828581912,1337,0,1,1611828581912,1611828581628,1611828581911,false,824,122,100px,100px,569.7307849220527,187.92694212323767
1611828582000,1337,0,1,1611828581912,1611828581628,1611828581911,false,824,122,100px,100px,569,188
1611828582062,1337,0,1,1611828581912,1611828581628,1611828581911,false,824,122,100px,100px,571,188
1611828582078,1337,0,1,1611828581912,1611828581628,1611828581911,false,824,122,100px,100px,575,189
1611828582093,1337,0,1,1611828581912,1611828581628,1611828581911,false,824,122,100px,100px,585,189
1611828582115,1337,0,1,1611828581912,1611828581628,1611828581911,false,824,122,100px,100px,619,193
1611828582148,1337,0,1,1611828581912,1611828581628,1611828581911,false,824,122,100px,100px,676,193
1611828582165,1337,0,1,1611828581912,1611828581628,1611828581911,false,824,122,100px,100px,698,186
1611828582176,1337,0,1,1611828581912,1611828581628,1611828581911,false,824,122,100px,100px,706,183
1611828582193,1337,0,1,1611828581912,1611828581628,1611828581911,false,824,122,100px,100px,723,178
1611828582210,1337,0,1,1611828581912,1611828581628,1611828581911,false,824,122,100px,100px,745,175
1611828582228,1337,0,1,1611828581912,1611828581628,1611828581911,false,824,122,100px,100px,768,173
1611828582244,1337,0,1,1611828581912,1611828581628,1611828581911,false,824,122,100px,100px,799,175
1611828582261,1337,0,1,1611828581912,1611828582261,1611828581911,true,824,122,100px,100px,842,180
1611828582277,1337,0,1,1611828581912,1611828582261,1611828581911,true,824,122,100px,100px,888,187
1611828582293,1337,0,1,1611828581912,1611828582261,1611828581911,true,824,122,100px,100px,916,190
1611828582309,1337,0,1,1611828581912,1611828582261,1611828581911,false,824,122,100px,100px,937,190
1611828582328,1337,0,1,1611828581912,1611828582261,1611828581911,false,824,122,100px,100px,953,193
1611828582343,1337,0,1,1611828581912,1611828582261,1611828581911,false,824,122,100px,100px,962,196
