timestampLog,pid,condition_id,run_id,timestampConditionStart,timestampCollision,timestampClick,mouseIsInsideElement,targetX,targetY,targetWidth,targetHeight,cursorX,cursorY
1615481945250,0,2,1,1615481945250,1615481944907,1615481945248,false,323,227,100px,50px,183.3015574023025,483.4032260820166
1615481945311,0,2,1,1615481945250,1615481944907,1615481945248,false,323,226,100px,50px,181,486
1615481945322,0,2,1,1615481945250,1615481944907,1615481945248,false,323,225,100px,50px,179,487
1615481945339,0,2,1,1615481945250,1615481944907,1615481945248,false,323,224,100px,50px,179,488
1615481945356,0,2,1,1615481945250,1615481944907,1615481945248,false,323,224,100px,50px,177,488
1615481945604,0,2,1,1615481945250,1615481944907,1615481945248,false,323,225,100px,50px,175,483
1615481945616,0,2,1,1615481945250,1615481944907,1615481945248,false,323,226,100px,50px,175,480
1615481945626,0,2,1,1615481945250,1615481944907,1615481945248,false,323,229,100px,50px,175,469
1615481945637,0,2,1,1615481945250,1615481944907,1615481945248,false,323,236,100px,50px,175,448
1615481945657,0,2,1,1615481945250,1615481944907,1615481945248,false,321,244,100px,50px,181,422
1615481945661,0,2,1,1615481945250,1615481944907,1615481945248,false,319,248,100px,50px,187,408
1615481945672,0,2,1,1615481945250,1615481944907,1615481945248,false,314,253,100px,50px,200,391
1615481945691,0,2,1,1615481945250,1615481944907,1615481945248,false,310,257,100px,50px,210,377
1615481945694,0,2,1,1615481945250,1615481944907,1615481945248,false,308,260,100px,50px,216,366
1615481945706,0,2,1,1615481945250,1615481944907,1615481945248,false,307,261,100px,50px,219,361
1615481945727,0,2,1,1615481945250,1615481944907,1615481945248,false,307,261,100px,50px,219,359
1615481945738,0,2,1,1615481945250,1615481944907,1615481945248,false,307,261,100px,50px,219,357
1615481945757,0,2,1,1615481945250,1615481944907,1615481945248,false,306,261,100px,50px,222,355
1615481945761,0,2,1,1615481945250,1615481944907,1615481945248,false,304,262,100px,50px,226,352
1615481945773,0,2,1,1615481945250,1615481944907,1615481945248,false,303,262,100px,50px,227,350
1615481945791,0,2,1,1615481945250,1615481944907,1615481945248,false,302,262,100px,50px,228,350
1615481945807,0,2,1,1615481945250,1615481944907,1615481945248,false,302,262,100px,50px,228,348
1615481945825,0,2,1,1615481945250,1615481944907,1615481945248,false,300,262,100px,50px,232,346
