timestampLog,pid,condition_id,run_id,timestampConditionStart,timestampCollision,timestampClick,mouseIsInsideElement,targetX,targetY,targetWidth,targetHeight,cursorX,cursorY
1614367296067,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,726.0741279491606,539.51038486359
1614367296140,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,722,539
1614367296152,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,721,540
1614367296171,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,720,540
1614367296174,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,719,540
1614367296208,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,717,540
1614367296238,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,716,540
1614367296333,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,715,540
1614367296342,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,712,541
1614367296356,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,703,543
1614367296373,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,695,543
1614367296377,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,679,544
1614367296386,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,661,544
1614367296406,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,628,539
1614367296410,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,613,537
1614367296423,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,585,529
1614367296436,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,572,526
1614367296446,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,559,522
1614367296456,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,546,518
1614367296471,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,539,517
1614367296479,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,526,513
1614367296489,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,520,511
1614367296505,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,518,510
1614367296523,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,518,509
1614367296537,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,518,504
1614367296545,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,517,498
1614367296556,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,517,493
1614367296571,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,515,487
1614367296586,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,514,485
1614367296589,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,512,480
1614367296601,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,507,471
1614367296611,0,0,1,1614367296067,1614367295734,1614367296064,false,401,387,100px,100px,502,464
1614367296623,0,0,1,1614367296067,1614367296623,1614367296064,true,401,387,100px,100px,494,457
1614367296635,0,0,1,1614367296067,1614367296623,1614367296064,true,401,387,100px,100px,484,451
1614367296644,0,0,1,1614367296067,1614367296623,1614367296064,true,401,387,100px,100px,473,445
1614367296655,0,0,1,1614367296067,1614367296623,1614367296064,true,401,387,100px,100px,462,440
1614367296668,0,0,1,1614367296067,1614367296623,1614367296064,true,401,387,100px,100px,456,437
1614367296788,0,0,1,1614367296067,1614367296623,1614367296788,true,401,387,100px,100px,456,437
1614367296790,0,0,2,1614367296790,1614367296623,1614367296788,false,445,298,100px,100px,206.344427320205,245.32955366285296
1614367297092,0,0,2,1614367296790,1614367296623,1614367296788,false,445,298,100px,100px,210,246
1614367297095,0,0,2,1614367296790,1614367296623,1614367296788,false,445,298,100px,100px,223,251
1614367297105,0,0,2,1614367296790,1614367296623,1614367296788,false,445,298,100px,100px,248,260
