timestampLog,pid,condition_id,run_id,timestampConditionStart,timestampCollision,timestampClick,mouseIsInsideElement,targetX,targetY,targetWidth,targetHeight,cursorX,cursorY
1614370449462,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,460.5967739179834,442.30155740230254
1614370449487,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,459,441
1614370449504,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,459,439
1614370449521,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,455,437
1614370449537,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,451,437
1614370449554,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,444,437
1614370449571,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,439,439
1614370449587,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,421,446
1614370449605,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,412,451
1614370449621,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,407,454
1614370449638,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,402,456
1614370449654,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,376,469
1614370449672,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,371,473
1614370449688,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,366,477
1614370449705,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,366,476
1614370449721,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,375,468
1614370449737,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,385,463
1614370449754,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,434,463
1614370449771,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,451,469
1614370449788,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,540,521
1614370449805,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,564,541
1614370449821,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,588,570
1614370449839,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,597,581
1614370449855,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,612,603
1614370449873,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,623,615
1614370449888,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,632,627
1614370449905,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,632,628
1614370449931,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,633,628
1614370449956,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,635,630
1614370449972,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,639,634
1614370449988,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,643,636
1614370450005,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,646,636
1614370450022,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,647,636
1614370450039,5,0,1,1614370449462,1614370449237,1614370449461,false,652,582,100px,100px,648,636
1614370450055,5,0,1,1614370449462,1614370450055,1614370449461,true,652,582,100px,100px,662,636
1614370450072,5,0,1,1614370449462,1614370450055,1614370449461,true,652,582,100px,100px,672,637
1614370450088,5,0,1,1614370449462,1614370450055,1614370449461,true,652,582,100px,100px,688,637
1614370450105,5,0,1,1614370449462,1614370450055,1614370449461,true,652,582,100px,100px,699,636
1614370450122,5,0,1,1614370449462,1614370450055,1614370449461,true,652,582,100px,100px,699,635
1614370450238,5,0,1,1614370449462,1614370450055,1614370450238,true,652,582,100px,100px,699,635
1614370450239,5,0,2,1614370450239,1614370450055,1614370450238,false,198,4,100px,100px,263.92694212323755,348.26921507794725
1614370450274,5,0,2,1614370450239,1614370450055,1614370450238,false,198,4,100px,100px,263,347
1614370450289,5,0,2,1614370450239,1614370450055,1614370450238,false,198,4,100px,100px,263,346
