timestampLog,pid,condition_id,run_id,timestampConditionStart,timestampCollision,timestampClick,mouseIsInsideElement,targetX,targetY,targetWidth,targetHeight,cursorX,cursorY
1615554594267,1,2,1,1615554594267,1615554593881,1615554594266,false,184,673,150px,50px,534.0741279491605,585.4896151364097
1615554594448,1,2,1,1615554594267,1615554593881,1615554594266,false,182,673,150px,50px,538,585
1615554594465,1,2,1,1615554594267,1615554593881,1615554594266,false,180,674,150px,50px,542,583
1615554594481,1,2,1,1615554594267,1615554593881,1615554594266,false,177,675,150px,50px,548,580
1615554594498,1,2,1,1615554594267,1615554593881,1615554594266,false,174,677,150px,50px,553,575
1615554594514,1,2,1,1615554594267,1615554593881,1615554594266,false,170,680,150px,50px,560,568
1615554594531,1,2,1,1615554594267,1615554593881,1615554594266,false,161,689,150px,50px,578,550
1615554594547,1,2,1,1615554594267,1615554593881,1615554594266,false,155,694,150px,50px,590,539
1615554594564,1,2,1,1615554594267,1615554593881,1615554594266,false,150,698,150px,50px,600,530
1615554594581,1,2,1,1615554594267,1615554593881,1615554594266,false,148,699,150px,50px,603,528
1615554594631,1,2,1,1615554594267,1615554593881,1615554594266,false,147,699,150px,50px,604,528
1615554594664,1,2,1,1615554594267,1615554593881,1615554594266,false,147,698,150px,50px,603,530
1615554594681,1,2,1,1615554594267,1615554593881,1615554594266,false,148,696,150px,50px,601,534
1615554594698,1,2,1,1615554594267,1615554593881,1615554594266,false,149,694,150px,50px,598,537
1615554594714,1,2,1,1615554594267,1615554593881,1615554594266,false,156,689,150px,50px,583,547
1615554594731,1,2,1,1615554594267,1615554593881,1615554594266,false,163,684,150px,50px,568,557
1615554594747,1,2,1,1615554594267,1615554593881,1615554594266,false,176,675,150px,50px,542,574
1615554594764,1,2,1,1615554594267,1615554593881,1615554594266,false,185,669,150px,50px,523,585
1615554594780,1,2,1,1615554594267,1615554593881,1615554594266,false,195,663,150px,50px,502,597
1615554594797,1,2,1,1615554594267,1615554593881,1615554594266,false,207,657,150px,50px,478,608
1615554594814,1,2,1,1615554594267,1615554593881,1615554594266,false,221,648,150px,50px,449,626
