timestampLog,pid,condition_id,run_id,timestampConditionStart,timestampCollision,timestampClick,mouseIsInsideElement,targetX,targetY,targetWidth,targetHeight,cursorX,cursorY
1615565544057,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,889.9543085469174,353.7642780688149
1615565544079,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,889,354
1615565544111,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,890,355
1615565544127,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,894,358
1615565544143,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,898,360
1615565544161,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,905,361
1615565544177,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,908,360
1615565544194,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,911,358
1615565544211,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,917,355
1615565544228,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,922,353
1615565544244,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,925,352
1615565544260,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,926,352
1615565544277,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,931,352
1615565544295,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,950,354
1615565544311,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,971,363
1615565544328,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,990,381
1615565544344,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,990,392
1615565544360,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,990,398
1615565544378,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,990,401
1615565544428,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,982,402
1615565544444,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,952,399
1615565544462,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,914,391
1615565544478,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,906,388
1615565544494,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,879,378
1615565544511,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,846,366
1615565544528,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,823,359
1615565544544,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,807,356
1615565544561,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,799,355
1615565544577,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,797,355
1615565544594,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,796,355
1615565544611,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,790,357
1615565544628,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,772,360
1615565544645,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,756,364
1615565544661,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,745,366
1615565544678,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,737,368
1615565544694,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,732,369
1615565544712,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,728,370
1615565544727,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,722,371
1615565544744,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,713,372
1615565544760,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,705,373
1615565544777,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,698,374
1615565544795,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,690,374
1615565544812,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,681,374
1615565544827,14,6,1,1615565544057,1615565543894,1615565544055,false,520,339,150px,50px,670,373
1615565544845,14,6,1,1615565544057,1615565544845,1615565544055,true,520,339,150px,50px,657,371
1615565544861,14,6,1,1615565544057,1615565544845,1615565544055,true,520,339,150px,50px,649,369
1615565544991,14,6,1,1615565544057,1615565544845,1615565544991,true,520,339,150px,50px,649,369
1615565544993,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,531.1320343559643,85.8679656440357
1615565545028,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,532,85
1615565545044,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,533,85
1615565545061,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,536,85
1615565545078,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,539,85
1615565545094,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,540,83
1615565545112,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,540,79
1615565545127,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,540,76
1615565545144,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,540,69
1615565545161,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,540,59
1615565545179,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,539,36
1615565545195,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,536,2
1615565545212,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,528,1
1615565545229,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,507,1
1615565545246,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,486,1
1615565545261,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,481,1
1615565545279,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,478,1
1615565545312,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,477,1
1615565545328,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,465,17
1615565545346,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,418,95
1615565545361,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,395,139
1615565545379,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,380,163
1615565545395,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,374,168
1615565545513,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,374,169
1615565545527,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,374,173
1615565545544,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,374,176
1615565545561,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,374,182
1615565545579,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,374,187
1615565545595,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,374,188
1615565545612,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,374,190
1615565545628,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,370,201
1615565545645,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,365,215
1615565545661,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,364,217
1615565545728,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,362,219
1615565545745,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,360,221
1615565545762,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,358,223
1615565545778,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,357,224
1615565545794,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,356,226
1615565545810,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,353,230
1615565545828,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,349,240
1615565545844,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,347,247
1615565545861,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,347,252
1615565545877,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,347,254
1615565545895,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,347,255
1615565545928,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,347,256
1615565545944,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,347,257
1615565545960,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,347,258
1615565545977,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,347,260
1615565545995,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,347,262
1615565546010,14,6,2,1615565544992,1615565544845,1615565544991,false,249,278,150px,50px,347,264
1615565546027,14,6,2,1615565544992,1615565546027,1615565544991,true,249,278,150px,50px,341,283
1615565546045,14,6,2,1615565544992,1615565546027,1615565544991,true,249,278,150px,50px,339,290
1615565546061,14,6,2,1615565544992,1615565546027,1615565544991,true,249,278,150px,50px,339,293
1615565546078,14,6,2,1615565544992,1615565546027,1615565544991,true,249,278,150px,50px,339,295
1615565546094,14,6,2,1615565544992,1615565546027,1615565544991,true,249,278,150px,50px,339,296
1615565546221,14,6,2,1615565544992,1615565546027,1615565546221,true,249,278,150px,50px,339,296
1615565546222,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,568.8923361109951,399.21452147779024
1615565546313,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,570,397
1615565546328,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,577,395
1615565546344,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,587,395
1615565546361,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,603,398
1615565546377,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,626,405
1615565546395,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,648,412
1615565546411,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,675,422
1615565546428,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,694,433
1615565546445,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,702,440
1615565546462,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,703,441
1615565546478,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,703,442
1615565546495,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,703,443
1615565546511,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,703,445
1615565546529,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,698,448
1615565546546,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,681,456
1615565546561,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,655,464
1615565546578,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,627,471
1615565546594,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,594,476
1615565546611,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,562,477
1615565546628,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,545,477
1615565546644,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,520,476
1615565546661,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,485,473
1615565546677,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,443,468
1615565546695,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,410,465
1615565546711,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,387,461
1615565546728,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,384,461
1615565546828,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,370,469
1615565546846,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,352,480
1615565546862,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,339,491
1615565546878,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,331,500
1615565546894,14,6,3,1615565546222,1615565546027,1615565546221,false,227,506,150px,50px,327,505
1615565546911,14,6,3,1615565546222,1615565546911,1615565546221,true,227,506,150px,50px,325,509
1615565546929,14,6,3,1615565546222,1615565546911,1615565546221,true,227,506,150px,50px,319,516
1615565546945,14,6,3,1615565546222,1615565546911,1615565546221,true,227,506,150px,50px,314,521
1615565546962,14,6,3,1615565546222,1615565546911,1615565546221,true,227,506,150px,50px,310,524
1615565546977,14,6,3,1615565546222,1615565546911,1615565546221,true,227,506,150px,50px,308,525
1615565546994,14,6,3,1615565546222,1615565546911,1615565546221,true,227,506,150px,50px,307,525
1615565547102,14,6,3,1615565546222,1615565546911,1615565547102,true,227,506,150px,50px,307,525
1615565547103,14,6,4,1615565547103,1615565546911,1615565547102,false,270,589,150px,50px,262.3542864692438,319.2222521132795
1615565547162,14,6,4,1615565547103,1615565546911,1615565547102,false,270,589,150px,50px,263,322
1615565547178,14,6,4,1615565547103,1615565546911,1615565547102,false,270,589,150px,50px,267,326
1615565547194,14,6,4,1615565547103,1615565546911,1615565547102,false,270,589,150px,50px,276,331
1615565547211,14,6,4,1615565547103,1615565546911,1615565547102,false,270,589,150px,50px,288,335
1615565547227,14,6,4,1615565547103,1615565546911,1615565547102,false,270,589,150px,50px,298,340
1615565547245,14,6,4,1615565547103,1615565546911,1615565547102,false,270,589,150px,50px,301,343
1615565547278,14,6,4,1615565547103,1615565546911,1615565547102,false,270,589,150px,50px,301,344
1615565547394,14,6,4,1615565547103,1615565546911,1615565547102,false,270,589,150px,50px,302,346
1615565547412,14,6,4,1615565547103,1615565546911,1615565547102,false,270,589,150px,50px,309,355
