timestampLog,pid,condition_id,run_id,timestampConditionStart,timestampCollision,timestampClick,mouseIsInsideElement,targetX,targetY,targetWidth,targetHeight,cursorX,cursorY
1615555563709,5,-1,1,1615555563709,1615555562888,1615555563709,false,713,366,150px,50px,586.1822913028478,612.4128740668316
1615555564138,5,-1,1,1615555563709,1615555562888,1615555563709,false,713,366,150px,50px,587,611
1615555564155,5,-1,1,1615555563709,1615555562888,1615555563709,false,713,366,150px,50px,592,607
1615555564171,5,-1,1,1615555563709,1615555562888,1615555563709,false,713,366,150px,50px,598,603
1615555564188,5,-1,1,1615555563709,1615555562888,1615555563709,false,713,366,150px,50px,603,600
1615555564205,5,-1,1,1615555563709,1615555562888,1615555563709,false,713,366,150px,50px,606,598
1615555564221,5,-1,1,1615555563709,1615555562888,1615555563709,false,713,366,150px,50px,607,597
1615555564238,5,-1,1,1615555563709,1615555562888,1615555563709,false,713,366,150px,50px,608,597
1615555564271,5,-1,1,1615555563709,1615555562888,1615555563709,false,713,366,150px,50px,612,593
1615555564288,5,-1,1,1615555563709,1615555562888,1615555563709,false,713,366,150px,50px,621,585
1615555564305,5,-1,1,1615555563709,1615555562888,1615555563709,false,713,366,150px,50px,634,576
1615555564321,5,-1,1,1615555563709,1615555562888,1615555563709,false,713,366,150px,50px,650,565
1615555564338,5,-1,1,1615555563709,1615555562888,1615555563709,false,713,366,150px,50px,669,547
1615555564354,5,-1,1,1615555563709,1615555562888,1615555563709,false,713,366,150px,50px,689,529
1615555564371,5,-1,1,1615555563709,1615555562888,1615555563709,false,713,366,150px,50px,713,508
1615555564388,5,-1,1,1615555563709,1615555562888,1615555563709,false,713,366,150px,50px,740,483
1615555564404,5,-1,1,1615555563709,1615555562888,1615555563709,false,713,366,150px,50px,755,464
1615555564421,5,-1,1,1615555563709,1615555562888,1615555563709,false,713,366,150px,50px,765,447
1615555564438,5,-1,1,1615555563709,1615555562888,1615555563709,false,713,366,150px,50px,779,425
1615555564455,5,-1,1,1615555563709,1615555564455,1615555563709,true,713,366,150px,50px,797,401
1615555564471,5,-1,1,1615555563709,1615555564455,1615555563709,true,713,366,150px,50px,809,386
1615555564488,5,-1,1,1615555563709,1615555564455,1615555563709,true,713,366,150px,50px,814,380
1615555564504,5,-1,1,1615555563709,1615555564455,1615555563709,true,713,366,150px,50px,815,378
1615555564522,5,-1,1,1615555563709,1615555564455,1615555563709,true,713,366,150px,50px,816,376
1615555564538,5,-1,1,1615555563709,1615555564455,1615555563709,true,713,366,150px,50px,818,373
1615555564554,5,-1,1,1615555563709,1615555564455,1615555563709,true,713,366,150px,50px,821,369
1615555564571,5,-1,1,1615555563709,1615555564455,1615555563709,true,713,366,150px,50px,823,367
1615555564604,5,-1,1,1615555563709,1615555564455,1615555563709,false,713,366,150px,50px,823,365
1615555564621,5,-1,1,1615555563709,1615555564455,1615555563709,false,713,366,150px,50px,824,360
1615555564638,5,-1,1,1615555563709,1615555564455,1615555563709,false,713,366,150px,50px,826,355
1615555564655,5,-1,1,1615555563709,1615555564455,1615555563709,false,713,366,150px,50px,827,350
1615555564671,5,-1,1,1615555563709,1615555564455,1615555563709,false,713,366,150px,50px,828,348
1615555564805,5,-1,1,1615555563709,1615555564455,1615555563709,false,713,366,150px,50px,828,350
1615555564821,5,-1,1,1615555563709,1615555564455,1615555563709,false,713,366,150px,50px,826,353
1615555564838,5,-1,1,1615555563709,1615555564455,1615555563709,false,713,366,150px,50px,824,356
1615555564855,5,-1,1,1615555563709,1615555564455,1615555563709,false,713,366,150px,50px,822,360
1615555564871,5,-1,1,1615555563709,1615555564455,1615555563709,false,713,366,150px,50px,820,363
1615555564888,5,-1,1,1615555563709,1615555564455,1615555563709,false,713,366,150px,50px,820,364
1615555564905,5,-1,1,1615555563709,1615555564455,1615555563709,false,713,366,150px,50px,820,365
1615555564921,5,-1,1,1615555563709,1615555564921,1615555563709,true,713,366,150px,50px,819,368
1615555564938,5,-1,1,1615555563709,1615555564921,1615555563709,true,713,366,150px,50px,818,370
1615555564955,5,-1,1,1615555563709,1615555564921,1615555563709,true,713,366,150px,50px,817,372
1615555564971,5,-1,1,1615555563709,1615555564921,1615555563709,true,713,366,150px,50px,816,374
1615555564988,5,-1,1,1615555563709,1615555564921,1615555563709,true,713,366,150px,50px,815,377
1615555565005,5,-1,1,1615555563709,1615555564921,1615555563709,true,713,366,150px,50px,814,380
1615555565021,5,-1,1,1615555563709,1615555564921,1615555563709,true,713,366,150px,50px,813,383
1615555565038,5,-1,1,1615555563709,1615555564921,1615555563709,true,713,366,150px,50px,812,386
1615555565055,5,-1,1,1615555563709,1615555564921,1615555563709,true,713,366,150px,50px,811,390
1615555565071,5,-1,1,1615555563709,1615555564921,1615555563709,true,713,366,150px,50px,810,394
1615555565089,5,-1,1,1615555563709,1615555564921,1615555563709,true,713,366,150px,50px,810,396
1615555565155,5,-1,1,1615555563709,1615555564921,1615555563709,true,713,366,150px,50px,810,397
1615555565171,5,-1,1,1615555563709,1615555564921,1615555563709,true,713,366,150px,50px,810,398
1615555565373,5,-1,1,1615555563709,1615555564921,1615555565373,true,713,366,150px,50px,810,398
1615555565373,5,-1,2,1615555565373,1615555564921,1615555565373,false,670,87,150px,50px,652.2884885831791,393.8914267889107
1615555565821,5,-1,2,1615555565373,1615555564921,1615555565373,false,670,87,150px,50px,653,385
1615555565838,5,-1,2,1615555565373,1615555564921,1615555565373,false,670,87,150px,50px,660,361
1615555565855,5,-1,2,1615555565373,1615555564921,1615555565373,false,670,87,150px,50px,669,323
1615555565871,5,-1,2,1615555565373,1615555564921,1615555565373,false,670,87,150px,50px,675,284
1615555565888,5,-1,2,1615555565373,1615555564921,1615555565373,false,670,87,150px,50px,680,253
1615555565905,5,-1,2,1615555565373,1615555564921,1615555565373,false,670,87,150px,50px,683,238
1615555565922,5,-1,2,1615555565373,1615555564921,1615555565373,false,670,87,150px,50px,688,224
1615555565938,5,-1,2,1615555565373,1615555564921,1615555565373,false,670,87,150px,50px,692,203
1615555565955,5,-1,2,1615555565373,1615555564921,1615555565373,false,670,87,150px,50px,696,183
1615555565972,5,-1,2,1615555565373,1615555564921,1615555565373,false,670,87,150px,50px,699,172
1615555565988,5,-1,2,1615555565373,1615555564921,1615555565373,false,670,87,150px,50px,702,167
1615555566005,5,-1,2,1615555565373,1615555564921,1615555565373,false,670,87,150px,50px,703,163
1615555566022,5,-1,2,1615555565373,1615555564921,1615555565373,false,670,87,150px,50px,705,158
1615555566038,5,-1,2,1615555565373,1615555564921,1615555565373,false,670,87,150px,50px,707,152
1615555566055,5,-1,2,1615555565373,1615555564921,1615555565373,false,670,87,150px,50px,708,148
1615555566071,5,-1,2,1615555565373,1615555564921,1615555565373,false,670,87,150px,50px,709,143
1615555566088,5,-1,2,1615555565373,1615555566088,1615555565373,true,670,87,150px,50px,712,136
1615555566104,5,-1,2,1615555565373,1615555566088,1615555565373,true,670,87,150px,50px,715,123
1615555566122,5,-1,2,1615555565373,1615555566088,1615555565373,true,670,87,150px,50px,718,113
1615555566138,5,-1,2,1615555565373,1615555566088,1615555565373,true,670,87,150px,50px,721,105
1615555566155,5,-1,2,1615555565373,1615555566088,1615555565373,true,670,87,150px,50px,724,97
1615555566171,5,-1,2,1615555565373,1615555566088,1615555565373,true,670,87,150px,50px,727,91
1615555566188,5,-1,2,1615555565373,1615555566088,1615555565373,true,670,87,150px,50px,728,89
1615555566572,5,-1,2,1615555565373,1615555566088,1615555566572,true,670,87,150px,50px,728,89
1615555566572,5,-1,3,1615555566572,1615555566088,1615555566572,false,744,30,150px,50px,535.8448436299639,162.38197802477367
1615555567138,5,-1,3,1615555566572,1615555566088,1615555566572,false,744,30,150px,50px,538,160
1615555567154,5,-1,3,1615555566572,1615555566088,1615555566572,false,744,30,150px,50px,554,150
1615555567171,5,-1,3,1615555566572,1615555566088,1615555566572,false,744,30,150px,50px,577,135
1615555567188,5,-1,3,1615555566572,1615555566088,1615555566572,false,744,30,150px,50px,601,122
1615555567205,5,-1,3,1615555566572,1615555566088,1615555566572,false,744,30,150px,50px,629,108
1615555567221,5,-1,3,1615555566572,1615555566088,1615555566572,false,744,30,150px,50px,659,92
